qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul
H8,E4,extc191230,extc,UNKNOWN,26.413,0.06,,,1,Undetermined,
H8,E5,extc191230,extc,UNKNOWN,26.476,0.123,,,1,Undetermined,
H8,E6,extc191230,extc,UNKNOWN,26.539,0.186,,,1,Undetermined,
H8,E7,extc200122,extc,UNKNOWN,26.532,0.179,,,1,Undetermined,
H8,E8,extc200122,extc,UNKNOWN,26.483,0.13,,,1,Undetermined,
H8,E9,extc200122,extc,UNKNOWN,26.595,0.242,,,1,Undetermined,
H8,E10,extc200204,extc,UNKNOWN,26.578,0.225,,,1,Undetermined,
H8,E11,extc200204,extc,UNKNOWN,26.577,0.223,,,1,Undetermined,
H8,E12,extc200204,extc,UNKNOWN,26.439,0.086,,,1,Undetermined,
H8,F4,extc200102,extc,UNKNOWN,26.382,0.029,,,1,Undetermined,
H8,F5,extc200102,extc,UNKNOWN,26.518,0.165,,,1,Undetermined,
H8,F6,extc200102,extc,UNKNOWN,26.494,0.14,,,1,Undetermined,
H8,F7,extc200123,extc,UNKNOWN,26.57,0.217,,,1,Undetermined,
H8,F8,extc200123,extc,UNKNOWN,26.588,0.235,,,1,Undetermined,
H8,F9,extc200123,extc,UNKNOWN,26.404,0.05,,,1,Undetermined,
H8,F10,extc200205,extc,UNKNOWN,26.496,0.142,,,1,Undetermined,
H8,F11,extc200205,extc,UNKNOWN,26.404,0.05,,,1,Undetermined,
H8,F12,extc200205,extc,UNKNOWN,26.283,-0.07,,,1,Undetermined,
H8,G4,extc200106,extc,UNKNOWN,26.386,0.033,,,1,Undetermined,
H8,G5,extc200106,extc,UNKNOWN,26.489,0.136,,,1,Undetermined,
H8,G6,extc200106,extc,UNKNOWN,26.417,0.064,,,1,Undetermined,
H8,G7,extc200127,extc,UNKNOWN,26.597,0.244,,,1,Undetermined,
H8,G8,extc200127,extc,UNKNOWN,26.501,0.148,,,1,Undetermined,
H8,G9,extc200127,extc,UNKNOWN,26.499,0.146,,,1,Undetermined,
H8,G10,extc200206,extc,UNKNOWN,26.465,0.112,,,1,Undetermined,
H8,G11,extc200206,extc,UNKNOWN,26.435,0.082,,,1,Undetermined,
H8,G12,extc200206,extc,UNKNOWN,26.477,0.124,,,1,Undetermined,
H8,H4,extc200108,extc,UNKNOWN,26.417,0.063,,,1,Undetermined,
H8,H5,extc200108,extc,UNKNOWN,26.447,0.094,,,1,Undetermined,
H8,H6,extc200108,extc,UNKNOWN,26.266,-0.087,,,1,Undetermined,
H8,H7,extc200128,extc,UNKNOWN,26.282,-0.071,,,1,Undetermined,
H8,H8,extc200128,extc,UNKNOWN,26.419,0.066,,,1,Undetermined,
H8,H9,extc200128,extc,UNKNOWN,26.605,0.252,,,1,Undetermined,
H8,H10,ntc,ntc,NTC,26.315,-0.038,,,1,Undetermined,
H8,H11,ntc,ntc,NTC,26.347,-0.006,,,1,Undetermined,
H8,H12,ntc,ntc,NTC,26.536,0.182,,,1,Undetermined,
H8,I1,ntc,ntc,NTC,26.259,-0.094,,,1,Undetermined,
H8,I2,ntc,ntc,NTC,26.355,0.002,,,1,Undetermined,
H8,I3,ntc,ntc,NTC,26.259,-0.095,,,1,Undetermined,
H8,I4,ntc,ntc,NTC,26.402,0.049,,,1,Undetermined,
H9,A4,1,unknowns,UNKNOWN,26.619,-0.066,,,1,39.181,0.17
H9,A5,1,unknowns,UNKNOWN,26.5,-0.185,,,1,Undetermined,
H9,A6,1,unknowns,UNKNOWN,26.609,-0.077,,,1,39.812,0.108
H9,A7,9,unknowns,UNKNOWN,26.542,-0.144,,,1,36.837,0.894
H9,A8,9,unknowns,UNKNOWN,26.616,-0.069,,,1,36.843,0.891
H9,A9,9,unknowns,UNKNOWN,26.657,-0.028,,,1,34.987,3.326
H9,A10,17,unknowns,UNKNOWN,26.88,0.195,NO,,1,38.494,0.276
H9,A11,17,unknowns,UNKNOWN,27.943,1.257,NO,,1,43.041,0.011
H9,A12,17,unknowns,UNKNOWN,28.697,2.012,NO,,1,38.699,0.239
H9,A13,25,unknowns,UNKNOWN,26.75,0.065,,,1,34.888,3.566
H9,A14,25,unknowns,UNKNOWN,26.86,0.175,,,1,33.771,7.882
H9,A15,25,unknowns,UNKNOWN,26.597,-0.089,,,1,33.692,8.337
H9,A16,33,unknowns,UNKNOWN,26.685,0,,,1,31.996,27.784
H9,A17,33,unknowns,UNKNOWN,26.64,-0.046,,,1,31.866,30.461
H9,A18,33,unknowns,UNKNOWN,26.667,-0.018,,,1,32.148,24.938
H9,A19,41,unknowns,UNKNOWN,26.592,-0.094,,,1,33.296,11.046
H9,A20,41,unknowns,UNKNOWN,26.463,-0.222,,,1,32.203,23.99
H9,A21,41,unknowns,UNKNOWN,26.521,-0.165,,,1,32.552,18.728
H9,A22,ntc,ntc,NTC,26.786,0.101,,,1,Undetermined,
H9,A23,ntc,ntc,NTC,26.738,0.053,,,1,Undetermined,
H9,A24,ntc,ntc,NTC,26.65,-0.036,,,1,Undetermined,
H9,B4,2,unknowns,UNKNOWN,26.509,-0.176,,,1,Undetermined,
H9,B5,2,unknowns,UNKNOWN,26.691,0.006,,,1,35.26,2.74
H9,B6,2,unknowns,UNKNOWN,26.78,0.095,,,1,36.893,0.86
H9,B7,10,unknowns,UNKNOWN,26.722,0.036,,,1,33.441,9.962
H9,B8,10,unknowns,UNKNOWN,26.701,0.015,,,1,33.379,10.413
H9,B9,10,unknowns,UNKNOWN,26.652,-0.033,,,1,32.715,16.677
H9,B10,18,unknowns,UNKNOWN,27.007,0.321,NO,,1,38.054,0.377
H9,B11,18,unknowns,UNKNOWN,27.94,1.254,NO,,1,39.745,0.114
H9,B12,18,unknowns,UNKNOWN,28.04,1.355,NO,,1,Undetermined,
